رقم,الملف,السطر,النوع,النص قبل,النص بعد,ملاحظة
1,rathena-master/npc/other/gympass.txt,2,تنقيح لغوي,//= Gym Pass Cash Item NPC,//= شخصية عنصر بطاقة النادي الرياضي,تغيير نصي فقط؛ منطق السكربت محفوظ
2,rathena-master/npc/other/gympass.txt,10,تنقيح لغوي,//= [Official Conversion],//= [تحويل رسمي],تغيير نصي فقط؛ منطق السكربت محفوظ
3,rathena-master/npc/other/gympass.txt,11,تنقيح لغوي,"//= Exchange Gym Passes to learn ""Enlarge Weight Limit""","//= استبدال بطاقات النادي الرياضي لتعلم مهارة ""زيادة حد الوزن""",تغيير نصي فقط؛ منطق السكربت محفوظ
4,rathena-master/npc/other/gympass.txt,12,تنقيح لغوي,//= iRO NPC situated in Payon beside Kafra Shop.,//= شخصية iRO موجودة في بايون بجوار متجر كافرا.,تغيير نصي فقط؛ منطق السكربت محفوظ
5,rathena-master/npc/other/gympass.txt,14,تنقيح لغوي,//= 1.0 First version [L0ne_W0lf],//= 1.0 الإصدار الأول. [L0ne_W0lf],تغيير نصي فقط؛ منطق السكربت محفوظ
6,rathena-master/npc/other/gympass.txt,15,تنقيح لغوي,"//= 1.1 Fixed the NPC saying you ""00"" [L0ne_W0lf]","//= 1.1 إصلاح قول الشخصية ""00"" للاعب. [L0ne_W0lf]",تغيير نصي فقط؛ منطق السكربت محفوظ
7,rathena-master/npc/other/gympass.txt,16,تنقيح لغوي,//= 1.2 Replaced effect numerics with constants. [Samuray22],//= 1.2 استبدال أرقام المؤثرات بالثوابت. [Samuray22],تغيير نصي فقط؛ منطق السكربت محفوظ
8,rathena-master/npc/other/gympass.txt,17,تنقيح لغوي,"//= 1.3 Updated script, and fixed potential errors. [L0ne_W0lf]",//= 1.3 تحديث السكربت وإصلاح الأخطاء المحتملة. [L0ne_W0lf],تغيير نصي فقط؛ منطق السكربت محفوظ
9,rathena-master/npc/other/gympass.txt,21,تنقيح لغوي,"	mes ""[المفتول]"";","	mes ""[مفتول العضلات]"";",تغيير نصي فقط؛ منطق السكربت محفوظ
10,rathena-master/npc/other/gympass.txt,22,تنقيح لغوي,"	mes ""مرحبا بك. الناس لم يعودوا"";","	mes ""مرحبا. لم يعد الناس"";",تغيير نصي فقط؛ منطق السكربت محفوظ
11,rathena-master/npc/other/gympass.txt,23,تنقيح لغوي,"	mes ""نشطين بدنيا كما كانوا"";","	mes ""يمارسون نشاطا بدنيا كما"";",تغيير نصي فقط؛ منطق السكربت محفوظ
12,rathena-master/npc/other/gympass.txt,24,تنقيح لغوي,"	mes ""في السابق. حتى لو كنت تقاتل"";","	mes ""في السابق. حتى مع القتال"";",تغيير نصي فقط؛ منطق السكربت محفوظ
13,rathena-master/npc/other/gympass.txt,25,تنقيح لغوي,"	mes ""لكسب عيشك، فقد يكون جسدك"";","	mes ""لكسب العيش، قد يبقى الجسد"";",تغيير نصي فقط؛ منطق السكربت محفوظ
14,rathena-master/npc/other/gympass.txt,27,تنقيح لغوي,"	mes ""المناطق. أتفهم ما أعنيه؟"";","	mes ""المواضع. هل المعنى واضح؟"";",تغيير نصي فقط؛ منطق السكربت محفوظ
15,rathena-master/npc/other/gympass.txt,29,تنقيح لغوي,"	mes ""[المفتول]"";","	mes ""[مفتول العضلات]"";",تغيير نصي فقط؛ منطق السكربت محفوظ
16,rathena-master/npc/other/gympass.txt,30,تنقيح لغوي,"	mes ""تدرب معي، وأنا أضمن"";","	mes ""تدرب معي، وأضمن"";",تغيير نصي فقط؛ منطق السكربت محفوظ
17,rathena-master/npc/other/gympass.txt,31,تنقيح لغوي,"	mes ""لك أنك ستتمكن من رفع"";","	mes ""أن تزداد قدرتك على رفع"";",تغيير نصي فقط؛ منطق السكربت محفوظ
18,rathena-master/npc/other/gympass.txt,32,تنقيح لغوي,"	mes ""وحمل المزيد من أغراضك."";","	mes ""المزيد من أغراضك وحملها."";",تغيير نصي فقط؛ منطق السكربت محفوظ
