مسار الملف,القسم,نوع العمل,الحالة,المرحلة,النطاق/الملاحظة,مجلد التقرير
rathena-master/npc/cities/izlude.txt,المدن,مراجعة حوارية عميقة,مكتمل,1,برونتيرا وإزلود,المرحلة_01
rathena-master/npc/cities/prontera.txt,المدن,مراجعة حوارية عميقة,مكتمل,1,برونتيرا وإزلود,المرحلة_01
rathena-master/npc/cities/geffen.txt,المدن,مراجعة حوارية عميقة,مكتمل,2,غيفن,المرحلة_02
rathena-master/npc/cities/alberta.txt,المدن,مراجعة حوارية عميقة,مكتمل,3,ألبرتا,المرحلة_03
rathena-master/npc/cities/morocc.txt,المدن,مراجعة حوارية عميقة,مكتمل,4,موروك,المرحلة_04
rathena-master/npc/cities/payon.txt,المدن,مراجعة حوارية عميقة,مكتمل,5,بايون,المرحلة_05
rathena-master/npc/cities/aldebaran.txt,المدن,مراجعة حوارية عميقة,مكتمل,6,ألديباران,المرحلة_06
rathena-master/npc/cities/comodo.txt,المدن,مراجعة حوارية عميقة,مكتمل,7,كومودو,المرحلة_07
rathena-master/npc/cities/yuno.txt,المدن,مراجعة حوارية عميقة,مكتمل,8,يونو,المرحلة_08
rathena-master/npc/cities/einbroch.txt,المدن,مراجعة حوارية عميقة,مكتمل,9,إينبروخ,المرحلة_09
rathena-master/npc/cities/einbech.txt,المدن,مراجعة حوارية عميقة,مكتمل,10,إينبيخ,المرحلة_10
rathena-master/npc/cities/hugel.txt,المدن,مراجعة حوارية عميقة,مكتمل,11,هويغل,المرحلة_11
rathena-master/npc/cities/lighthalzen.txt,المدن,مراجعة حوارية عميقة,مكتمل,12,لايت هالزن,المرحلة_12
rathena-master/npc/cities/rachel.txt,المدن,مراجعة حوارية عميقة,مكتمل,13,راشيل,المرحلة_13
rathena-master/npc/cities/veins.txt,المدن,مراجعة حوارية عميقة,مكتمل,14,فينز,المرحلة_14
rathena-master/npc/cities/umbala.txt,المدن,مراجعة حوارية عميقة,مكتمل,15,أومبالا,المرحلة_15
rathena-master/npc/cities/niflheim.txt,المدن,مراجعة حوارية عميقة,مكتمل,16,نيفلهايم,المرحلة_16
rathena-master/npc/cities/amatsu.txt,المدن,مراجعة حوارية عميقة,مكتمل,17,أماتسو,المرحلة_17
rathena-master/npc/cities/gonryun.txt,المدن,مراجعة حوارية عميقة,مكتمل,18,كونلون / غونريون,المرحلة_18
rathena-master/npc/cities/louyang.txt,المدن,مراجعة حوارية عميقة,مكتمل,19,لويانغ,المرحلة_19
rathena-master/npc/cities/ayothaya.txt,المدن,مراجعة حوارية عميقة,مكتمل,20,أيوثايا,المرحلة_20
rathena-master/npc/cities/brasilis.txt,المدن,مراجعة حوارية عميقة,مكتمل,21,برازيليس,المرحلة_21
rathena-master/npc/cities/moscovia.txt,المدن,مراجعة حوارية عميقة,مكتمل,22,موسكوفيا,المرحلة_22
rathena-master/npc/cities/lutie.txt,المدن,مراجعة حوارية عميقة,مكتمل,23,لوتي,المرحلة_23
rathena-master/npc/cities/jawaii.txt,المدن,مراجعة حوارية عميقة,مكتمل,24,جاواي,المرحلة_24
rathena-master/npc/cities/manuk.txt,المدن,مراجعة حوارية عميقة,مكتمل,25,مانوك,المرحلة_25
rathena-master/npc/cities/splendide.txt,المدن,مراجعة حوارية عميقة,مكتمل,26,سبلينديد,المرحلة_26
rathena-master/npc/quests/quests_niflheim.txt,المهام,مراجعة حوارية عميقة,مكتمل,27,مهام نيفلهايم,المرحلة_27
rathena-master/npc/quests/quests_umbala.txt,المهام,مزامنة مساعدة,لم يراجع بالكامل,28 و63,مزامنة اسم عنصر السيد مبتسم في موضعين فقط,المرحلة_63
rathena-master/npc/quests/quests_amatsu.txt,المهام,مراجعة حوارية عميقة,مكتمل,29,مهام أماتسو,المرحلة_29
rathena-master/npc/quests/quests_gonryun.txt,المهام,مراجعة حوارية عميقة,مكتمل,30,مهام كونلون,المرحلة_30
rathena-master/npc/quests/quests_hugel.txt,المهام,مراجعة حوارية عميقة,مكتمل,31,مهام هويغل,المرحلة_31
rathena-master/npc/quests/quests_izlude.txt,المهام,مراجعة حوارية عميقة,مكتمل,32,مهام إزلود,المرحلة_32
rathena-master/npc/quests/quests_juperos.txt,المهام,مراجعة حوارية عميقة,مكتمل,33,مهام جوبييروس,المرحلة_33
rathena-master/npc/quests/quests_lighthalzen.txt,المهام,مراجعة حوارية عميقة,مكتمل,34,مهام لايت هالزن,المرحلة_34
rathena-master/npc/quests/quests_louyang.txt,المهام,مراجعة حوارية عميقة,مكتمل,35,مهام لويانغ,المرحلة_35
rathena-master/npc/quests/quests_ayothaya.txt,المهام,مراجعة حوارية عميقة,مكتمل,36,مهام أيوثايا,المرحلة_36
rathena-master/npc/quests/quests_brasilis.txt,المهام,مراجعة حوارية عميقة,مكتمل,37,مهام برازيليس,المرحلة_37
rathena-master/npc/quests/quests_comodo.txt,المهام,مراجعة حوارية عميقة,مكتمل,38 و47,مهام كومودو؛ مزامنة مصطلح السيوف المشؤومة في المرحلة 47,المرحلتان_38_و47
rathena-master/npc/quests/quests_ein.txt,المهام,مراجعة حوارية عميقة,مكتمل,39,مهام إينبروخ وإينبيخ,المرحلة_39
rathena-master/npc/quests/quests_geffen.txt,المهام,مراجعة حوارية عميقة,مكتمل,40,مهام غيفن,المرحلة_40
rathena-master/npc/quests/bard_quest.txt,المهام,مراجعة حوارية عميقة,مكتمل,41 و69,مهمة الشاعر المتجول؛ مزامنة تهجئة اسم باندجر ماير في المرحلة 69,المرحلتان_41_و69
rathena-master/npc/quests/bunnyband.txt,المهام,مراجعة حوارية عميقة,مكتمل,42,مهمة عصابة الأرنب,المرحلة_42
rathena-master/npc/quests/cooking_quest.txt,المهام,مراجعة حوارية عميقة,مكتمل,43,مهمة الطبخ,المرحلة_43
rathena-master/npc/quests/counteragent_mixture.txt,المهام,مراجعة حوارية عميقة,مكتمل,44,مهمة العامل المعادل والمزيج,المرحلة_44
rathena-master/npc/quests/dandelion_request.txt,المهام,مراجعة حوارية عميقة,مكتمل,45,مهمة طلب دانديليون,المرحلة_45
rathena-master/npc/quests/doomed_swords.txt,المهام,مراجعة حوارية عميقة,مكتمل,46,مهمة السيوف المشؤومة,المرحلة_46
rathena-master/npc/quests/doomed_swords_quest.txt,المهام,مراجعة حوارية عميقة,مكتمل,47,مهمة السيوف المشؤومة — الجزء الثالث,المرحلة_47
rathena-master/npc/quests/eye_of_hellion.txt,المهام,مراجعة حوارية عميقة,مكتمل,48,مهمة عين هليون,المرحلة_48
rathena-master/npc/quests/first_class/tu_acolyte.txt,المهام,مراجعة حوارية عميقة,مكتمل,49,مهمة تدريب المريد,المرحلة_49
rathena-master/npc/quests/first_class/tu_archer.txt,المهام,مراجعة حوارية عميقة,مكتمل,50,مهمة تدريب الرامي,المرحلة_50
rathena-master/npc/quests/first_class/tu_ma_th01.txt,المهام,مراجعة حوارية عميقة,مكتمل,51,مهمة آثار المعركة المشتركة,المرحلة_51
rathena-master/npc/quests/first_class/tu_merchant.txt,المهام,مراجعة حوارية عميقة,مكتمل,53,مهمة تدريب التاجر,المرحلة_53
rathena-master/npc/quests/first_class/tu_sword.txt,المهام,مراجعة حوارية عميقة,مكتمل,54,مهمة تدريب السياف,المرحلة_54
rathena-master/npc/quests/first_class/tu_thief01.txt,المهام,مراجعة حوارية عميقة,مكتمل,55,مهمة تدريب اللص والتحقيق المرتبط بها,المرحلة_55
rathena-master/npc/quests/first_class/tu_magician01.txt,المهام,مراجعة حوارية عميقة,مكتمل,52,مهمة تدريب الساحر,المرحلة_52
rathena-master/npc/quests/guildrelay.txt,المهام,مراجعة حوارية عميقة,مكتمل,56,مهمة اختبار النقابة المتتابع وتسلسل الأرواح بين المهن,المرحلة_56
rathena-master/npc/quests/gunslinger_quests.txt,المهام,مراجعة حوارية عميقة,مكتمل,57,مهام تطوير أسلحة رماة المسدسات والذخائر المرتبطة بها,المرحلة_57
