english,canonical_arabic,category_or_context,source_stages,source_files,arabic_aliases,status,decision_note
Ahman,أحمان,جهة الاتصال في مطار إزلود,34,تقارير_المراجعة_الحوارية/المرحلة_34/dialogue_stage34_glossary.csv,,approved,Merged from stage glossaries.
Aibakthing,أيباكثينغ,اسم ناقل أيوثايا,20,تقارير_المراجعة_الحوارية/المرحلة_20/dialogue_stage20_glossary.csv,,approved,Merged from stage glossaries.
Airship,منطاد,وسيلة نقل || بحسب سياق وسيلة النقل أو الخط,8;9;13,تقارير_المراجعة_الحوارية/المرحلة_08/dialogue_stage8_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_09/dialogue_stage9_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_13/dialogue_stage13_glossary.csv,منطاد / خط المناطيد,resolved_initial_merge,"الاسم القياسي؛ تستخدم عبارة ""خط المناطيد"" عند الإشارة إلى شبكة النقل لا إلى المركبة."
Airship Airport,مطار المناطيد,مرفق النقل,9,تقارير_المراجعة_الحوارية/المرحلة_09/dialogue_stage9_glossary.csv,,approved,Merged from stage glossaries.
Airship balloon,بالون هوائي,مصطلح,11,تقارير_المراجعة_الحوارية/المرحلة_11/dialogue_stage11_glossary.csv,,approved,Merged from stage glossaries.
Akiira,أكيرا,اسم الشخصية,19,تقارير_المراجعة_الحوارية/المرحلة_19/dialogue_stage19_glossary.csv,,approved,Merged from stage glossaries.
Al De Baran,ألديباران,الاسم القياسي داخل الحزمة,6,تقارير_المراجعة_الحوارية/المرحلة_06/dialogue_stage6_glossary.csv,,approved,Merged from stage glossaries.
Alakina Ann,ألاكينا آن,المعتمد في مهمة الختم,16,تقارير_المراجعة_الحوارية/المرحلة_16/dialogue_stage16_glossary.csv,,approved,Merged from stage glossaries.
Alberta,ألبرتا,الحزمة: الخرائط وحوارات المدن || الصيغة الموحدة في ملفات المدن والملاحة || ميناء الانطلاق والعودة,3;17;22,تقارير_المراجعة_الحوارية/المرحلة_03/dialogue_stage3_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_17/dialogue_stage17_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_22/dialogue_stage22_glossary.csv,,approved,Merged from stage glossaries.
Alex Helmuth,أليكس هيلموت,شخصية أنثى | تصحيح صيغ المذكر في الحوار وسجل المهمة,31,تقارير_المراجعة_الحوارية/المرحلة_31/dialogue_stage31_glossary.csv,,approved,Merged from stage glossaries.
Allen Schuwell,ألين شويل,شخصية | توحيد اسم العرض والملاحة,31,تقارير_المراجعة_الحوارية/المرحلة_31/dialogue_stage31_glossary.csv,,approved,Merged from stage glossaries.
Alreg,ألريغ,شخصية مهمة مفاتيح البيانو,27,تقارير_المراجعة_الحوارية/المرحلة_27/dialogue_stage27_glossary.csv,,approved,Merged from stage glossaries.
Amatsu,أماتسو,الصيغة الموحدة في الحزمة,17,تقارير_المراجعة_الحوارية/المرحلة_17/dialogue_stage17_glossary.csv,,approved,Merged from stage glossaries.
Andre,أندريه,mob_db.yml، المعرّف 1095,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Angeling,أنجلينغ,mob_db.yml، المعرّف 1096,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Angelus,أنجيلوس,مهارة | تثبيت التعريب الصوتي المستخدم لاسم المهارة,1,تقارير_المراجعة_الحوارية/المرحلة_01/dialogue_stage1_glossary.csv,,approved,Merged from stage glossaries.
Ant Hell,جحيم النمل,حوار موروك وملفات المناطق,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Antique Room,الغرفة العتيقة,,24,تقارير_المراجعة_الحوارية/المرحلة_24/dialogue_stage24_glossary.csv,,approved,Merged from stage glossaries.
Apprentice Priestess,الكاهنة المتدربة,اسم عرض بابايي,13,تقارير_المراجعة_الحوارية/المرحلة_13/dialogue_stage13_glossary.csv,,approved,Merged from stage glossaries.
Archer,رامي,قاموس الوظائف داخل الحزمة,5,تقارير_المراجعة_الحوارية/المرحلة_05/dialogue_stage5_glossary.csv,,approved,Merged from stage glossaries.
Archer Village,قرية الرماة,Navi_Data_EN.lub وخرائط الحزمة,5,تقارير_المراجعة_الحوارية/المرحلة_05/dialogue_stage5_glossary.csv,,approved,Merged from stage glossaries.
Art Museum,متحف الفنون,مطابق لملف tipbox_EN.lub.,21,تقارير_المراجعة_الحوارية/المرحلة_21/dialogue_stage21_glossary.csv,,approved,Merged from stage glossaries.
