رقم السطر,النص السابق,النص الجديد,المرجع الإنجليزي,سبب التعديل,نوع التعديل
25,غرفة انتظار البينغو::Bingo Waiting Room,غرفة انتظار بينغو::Bingo Waiting Room,Bingo Waiting Room,تحسين الاسم الظاهر مع إبقاء الاسم الداخلي بعد :: ثابتا.,اسم ظاهر
29,غرفة انتظار البينغو - 5 أشخاص,غرفة انتظار بينغو - 5 لاعبين,Bingo Waiting Room - 5 People,توضيح أن العدد يخص اللاعبين.,صياغة
48,اللوحة1#bingo::plate1#bingo,لوحة بينغو 1#bingo::plate1#bingo,plate1#bingo,توضيح الاسم الظاهر للوحة مع حفظ الاسم الداخلي.,اسم ظاهر
88,الأرقام التي أدخلتها,أحد الأرقام التي أدخلتها,The numbers you have entered,ربط رسالة الخطأ بسبب محدد وواضح.,حوار
89,تتجاوز الحد، أو أنك,خارج النطاق المسموح، أو,"exceed the limit, or you have",توضيح أن الخطأ هو الخروج عن النطاق 1 إلى 25.,دقة
90,أدخلت هذه الأرقام من قبل.,أنك أدخلت رقما مكررا.,already entered these numbers.,توضيح حالة تكرار الرقم.,دقة
91,يرجى إدخال أرقامك مرة أخرى.,يرجى إدخال الأرقام من جديد.,Please enter your numbers again.,تحسين الصياغة العربية.,حوار
107,اللوحة2#bingo::plate2#bingo,لوحة بينغو 2#bingo::plate2#bingo,plate2#bingo,توضيح الاسم الظاهر للوحة مع حفظ الاسم الداخلي.,اسم ظاهر
108,اللوحة3#bingo::plate3#bingo,لوحة بينغو 3#bingo::plate3#bingo,plate3#bingo,توضيح الاسم الظاهر للوحة مع حفظ الاسم الداخلي.,اسم ظاهر
109,اللوحة4#bingo::plate4#bingo,لوحة بينغو 4#bingo::plate4#bingo,plate4#bingo,توضيح الاسم الظاهر للوحة مع حفظ الاسم الداخلي.,اسم ظاهر
110,اللوحة5#bingo::plate5#bingo,لوحة بينغو 5#bingo::plate5#bingo,plate5#bingo,توضيح الاسم الظاهر للوحة مع حفظ الاسم الداخلي.,اسم ظاهر
129,يوكران: مرحبا بالجميع! أنا يوكران، دليلكم في بينغو~,يوكران: مرحبا بالجميع! أنا يوكران، مرشد لعبة بينغو~,"Eukran: Hello, everyone! I'm Eukran, your Bingo Guide~",صياغة عربية طبيعية وتثبيت اسم يوكران المعتمد.,إعلان
133,يوكران: أيها المشاركون في اللعبة، يرجى دخول بوابة الانتقال في أسفل الشاشة واختيار لوحة بينغو بإدخال رقم.,يوكران: على المشاركين دخول بوابة الانتقال أسفل الساحة، ثم اختيار لوحة بينغو بإدخال رقم.,"Game participants, please enter the Warp Portal ... and choose a Bingo Plate",إزالة التعبير الحرفي أسفل الشاشة وتوضيح الإجراء.,إعلان
137,يوكران: يجب على جميع المشاركين اختيار لوحات بينغو الخاصة بهم خلال 3 دقائق، وإلا سيتم إلغاء اللعبة.,يوكران: يجب اختيار لوحات بينغو خلال 3 دقائق، وإلا ستلغى اللعبة.,All participants must choose their Bingo Plates within 3 minutes,اختصار الإعلان مع حفظ المهلة والنتيجة.,إعلان
141,يوكران: يرجى إدخال رقم خلال 5 ثوان، وإلا سيتم إلغاء اللعبة.,يوكران: أدخل رقما خلال 5 ثوان، وإلا ستلغى اللعبة.,"Please enter a number in 5 seconds, or the game will be canceled.",صياغة مباشرة وواضحة.,إعلان
145,يوكران: أنا آسف، لكن اللعبة قد ألغيت. يرجى الحضور مرة أخرى والاستمتاع بلعبة بينغو معنا!,يوكران: عذرا، ألغيت اللعبة. عد لاحقا للاستمتاع بجولة أخرى من بينغو!,"I'm sorry, but the game has been canceled. Please come again ...",تحسين رسالة إلغاء الجولة.,إعلان
190,يوكران: والآن، لتبدأ اللعبة!,يوكران: والآن، فلتبدأ اللعبة!,"Now, let the game begin!",تصحيح الأسلوب العربي.,إعلان
202,يوكران: سأعلن أرقام بينغو. إذا حصلت على 5 خطوط بمطابقة 5 أرقام بينغو في خط مستقيم على لوحة بينغو الخاصة بك، فاصرخ ''بينغو'' للفوز~,يوكران: سأعلن أرقام بينغو تباعا. إذا أكملت 5 خطوط مستقيمة، في كل منها 5 أرقام مطابقة على لوحتك، فاكتب ''Bingo'' للفوز~,I'll announce the Bingo Numbers. If you get 5 lines ... yell out 'Bingo',توضيح شرط الفوز الفعلي ومطابقة الأمر مع الإدخال النصي الحساس لحالة الأحرف.,دقة لعب
265,يوكران: لقد أعلنت كل الأرقام المختارة، لكنني لم أسمع أحدا يصرخ ''بينغو.'',يوكران: أعلنت جميع الأرقام المختارة، لكن لم يعلن أحد ''Bingo''.,"I've announced all selected numbers, but ... no one yell 'Bingo.'",تحسين الإعلان وتوحيد كلمة الإدخال المطلوبة.,إعلان
269,يوكران: سأمنحكم جميعا 10 ثوان للتحقق مما إذا كان أحدكم قد فاز. إذا لم يستطع أحد أن يصرخ ''بينغو'' خلال 10 ثوان، فستنتهي هذه اللعبة دون فائز.,يوكران: أمامكم 10 ثوان للتحقق من اللوحات. إذا لم يعلن أحد ''Bingo'' خلالها، فستنتهي اللعبة دون فائز.,I'll give you all 10 seconds to check ...,اختصار الإعلان وتوضيح المهلة.,إعلان
273,يوكران: أنا آسف، لكن هذه اللعبة انتهت دون فائز. شكرا للعبكم جميعا~,يوكران: عذرا، انتهت اللعبة دون فائز. شكرا لمشاركتكم جميعا~,This game has ended without a winner. Thanks for playing~,صياغة عربية طبيعية.,إعلان
451,"mes ""[ الرقم ""+$@bingoresult+"" - ""+$bingo[$@bingoresult -1]+"" ]"";","mes ""[ السحب ""+$@bingoresult+"" - الرقم ""+$bingo[$@bingoresult -1]+"" ]"";",Number - called value,توضيح أن الرقم الأول ترتيب السحب والثاني الرقم المعلن.,واجهة
452,"mes ""[ الرقم ""+$@bingoresult+"" - ""+$bingo[$@bingoresult -1]+"" ]"";","mes ""[ السحب ""+$@bingoresult+"" - الرقم ""+$bingo[$@bingoresult -1]+"" ]"";",Number - called value,توضيح أن الرقم الأول ترتيب السحب والثاني الرقم المعلن.,واجهة
453,"mes ""[ الرقم ""+$@bingoresult+"" - ""+$bingo[$@bingoresult -1]+"" ]"";","mes ""[ السحب ""+$@bingoresult+"" - الرقم ""+$bingo[$@bingoresult -1]+"" ]"";",Number - called value,توضيح أن الرقم الأول ترتيب السحب والثاني الرقم المعلن.,واجهة
454,"mes ""[ الرقم ""+$@bingoresult+"": ""+$bingo[$@bingoresult -1]+"" ]"";","mes ""[ السحب ""+$@bingoresult+"" - الرقم ""+$bingo[$@bingoresult -1]+"" ]"";",Number - called value,توحيد عرض نتيجة السحب.,واجهة
460,[الخطوط المكتملة حاليا: ,[عدد الخطوط المكتملة: ,Currently Finished Lines,تحسين عنوان عداد الخطوط.,واجهة
464,لقد أكملنا للتو 5 خطوط!,اكتملت خمسة خطوط على لوحتنا!,We just have made 5 lines!,تصحيح الصياغة وتوضيح اللوحة.,حوار
465,قل ^ff0000Bingo^000000!,اكتب ^ff0000Bingo^000000!,Say Bingo!,المطلوب إدخال نص وليس حديثا صوتيا.,دقة لعب
466,ل-لقد طابقنا للتو,ل-لقد اكتملت لدينا,W-we just matched,ربط الجملة بالخطوط المكتملة.,حوار
